"rep","query","strategy","elapsed","rows","df_mb","peak_rss_mb","rsqlite","table_rows","chunk","platform","r","nanoarrow","sqlite","date"
1,"all","baseline",0.011,0,NA,100.1953125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"all","default",3.059,1e+06,97.0243911743164,250.55859375,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"all","arrow_df",1.866,1e+06,97.0243911743164,279.703125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"all","arrow_stream",1.855,1e+06,104.653785705566,305.3046875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"all","default_chunked",1.691,1e+06,NA,178.546875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"all","arrow_df_chunked",1.399,1e+06,NA,213.2734375,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"all","arrow_drain",0.668,1e+06,NA,184.828125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"numbers","baseline",0.011,0,NA,100.21484375,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"numbers","default",0.618,1e+06,15.2597274780273,132.61328125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"numbers","arrow_df",0.441,1e+06,15.2597274780273,169.94921875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"numbers","arrow_stream",0.382,1e+06,22.8891220092773,152.92578125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"numbers","default_chunked",0.556,1e+06,NA,135.8203125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"numbers","arrow_df_chunked",0.354,1e+06,NA,152.515625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"numbers","arrow_drain",0.366,1e+06,NA,139.9140625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"strings","baseline",0.00800000000000001,0,NA,100.20703125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
