"rep","query","strategy","elapsed","rows","df_mb","peak_rss_mb","rsqlite","table_rows","chunk","platform","r","nanoarrow","sqlite","date"
1,"all","baseline",0.00900000000000001,0,NA,100.1953125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"all","default",2.628,1e+06,97.0243911743164,250.734375,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"all","arrow_df",2.084,1e+06,97.0243911743164,326.796875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"all","arrow_stream",2.273,1e+06,104.653785705566,305.8828125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"all","default_chunked",1.651,1e+06,NA,178.46875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"all","arrow_df_chunked",0.91,1e+06,NA,233.7421875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"all","arrow_drain",0.719,1e+06,NA,184.6796875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"numbers","baseline",0.01,0,NA,100.2578125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"numbers","default",0.604,1e+06,15.2597274780273,132.65625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"numbers","arrow_df",0.582,1e+06,15.2597274780273,202.8515625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"numbers","arrow_stream",0.396,1e+06,22.8891220092773,152.67578125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"numbers","default_chunked",0.622,1e+06,NA,135.875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"numbers","arrow_df_chunked",0.592,1e+06,NA,186.9453125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"numbers","arrow_drain",0.406,1e+06,NA,139.7265625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"strings","baseline",0.01,0,NA,100.296875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"strings","default",1.961,1e+06,81.7652435302734,220.12890625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"strings","arrow_df",1.465,1e+06,81.7652435302734,249.015625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"strings","arrow_stream",1.86,1e+06,81.7652435302734,252.6484375,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"strings","default_chunked",1.62,1e+06,NA,163.51171875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"strings","arrow_df_chunked",0.581,1e+06,NA,157.34765625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"strings","arrow_drain",0.571,1e+06,NA,153.84765625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"filtered","baseline",0.018,0,NA,100.09765625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"filtered","default",0.913,300211,33.2605743408203,160.6953125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"filtered","arrow_df",0.765,300211,33.2605743408203,189.8671875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"filtered","arrow_stream",0.729,300211,35.5509948730469,176.328125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"filtered","default_chunked",0.788,300211,NA,149.66796875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"filtered","arrow_df_chunked",0.421,300211,NA,165.015625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"filtered","arrow_drain",0.362,300211,NA,129.72265625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"all","baseline",0.017,0,NA,100.25,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"all","default",3.391,1e+06,97.0243911743164,250.7890625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"all","arrow_df",2.265,1e+06,97.0243911743164,326.83203125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"all","arrow_stream",2.166,1e+06,104.653785705566,305.94921875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"all","default_chunked",2.066,1e+06,NA,178.69921875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"all","arrow_df_chunked",0.812,1e+06,NA,233.73046875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"all","arrow_drain",0.879,1e+06,NA,184.58203125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"numbers","baseline",0.012,0,NA,100.265625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"numbers","default",0.81,1e+06,15.2597274780273,132.7265625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"numbers","arrow_df",0.63,1e+06,15.2597274780273,202.859375,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"numbers","arrow_stream",0.455,1e+06,22.8891220092773,152.8359375,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"numbers","default_chunked",0.818,1e+06,NA,135.89453125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
